id,Text,Label_Id,Label,Label_Rev
4611,I support the queer community.,1,Very_Positive,0
2560,I come off bisexual to y'all:thinking face:,3,Neutral,2
5433,I wish I knew more about how to talk about intersex shit without overstepping into transmisogyny but there's so little precedent,3,Neutral,2
1916,"imagine a world where u never have to read shit like ""cuntboi"" &amp; ""shemale"" ever again bc ppl stop treating trans &amp; intersex ppl as a fetish",2,Positive,1
1002,The same people celebrating Gay pride today are the same people that picked on my in school for having a boy hair cut and called me a dyke and a lesbian :thinking face:,3,Neutral,2
538,"On Christmas of all days, George?  You made gay cool, before gay was even gay.",2,Positive,1
4065,"Meant to be thinking of ideas for a charity so is it acceptable to dedicate next month to new transsexual people and call it ""Post-optober""?",3,Neutral,2
2389,"Sometimes I wish I was just a lesbian instead of bisexual, I feel like it would be easier to just not like or want guys at all- they suck.",3,Neutral,2
4450,"Of course, that was before the show had aired. Within the first episode, it became pretty clear that show was about lesbians. And bears.",3,Neutral,2
1130,and asexual and/or aromantic characters are so important and necessary,2,Positive,1
1559,Neo is forever an asslicker  #BBNaija,4,Negative,3
4809,"All y’all including queer folks who make dumbass jokes about trans women, talk shit about trans women, are basically transmisic. Just say y’all hate trans women and go. Go choke. Go break your ankle. Go stub your pinky toe on a corner of a metal coffee table. Fall in a hole.",2,Positive,1
93,shout out to the petscop community for not being shitty abt the paul is trans theory,3,Neutral,2
5831,"ppl really still out here sayin “there’s only two genders.” with my own personal feelings set aside... YALL KNOW INTERSEX FOLK EXIST RIGHT??? like that ALONE carries enough evidence that there’s more than two, y’all are just XtraIgnorant:trade mark:",2,Positive,1
3118,"""I'm straight but my penis seems to be bisexual sometimes""",3,Neutral,2
4640,"""You smell like dyke booty""",3,Neutral,2
3223,I'm watching Queer as Folk (US) and Uncle Vic just died. Crying my eyes out the second time around. :disappointed face:,2,Positive,1
3672,literally everyone in avatar is queer as hell,3,Neutral,2
1531,Every one of those  Trump cocksuckers need to go..Trump dumbass knew he wanted to rob Americans but was clueless so they did it for him!,3,Neutral,2
660,"slams fist down
i stand for bisexual sully",2,Positive,1
1734,I'm just a sweet transvestite from transsexual Transylvania,3,Neutral,2
5987,"all i know is mcdonalds, charging my phone, twerking, being bisexual, eating hot chips, and lying",3,Neutral,2
5455,YAAAASSS more documentaries and articles on intersex and ambiguous genitals in my sociology class I LIVE FOR THIS SHITTT!!!,3,Neutral,2
4452,calm down u fuckin queer,4,Negative,3
5221,"Lol, sucks that I won't have a date for prom. #HA #FOREVERALONE #LESBIAN",3,Neutral,2
5669,Bitches talm bout some they asexual .... you taking chlorophyll instead of dick? :face with raised eyebrow::loudly crying face::loudly crying face::man facepalming: medium-dark skin tone:,4,Negative,3
5650,"""do I look like a lesbian? "" #yes   ",3,Neutral,2
106,Always watch where you’re going because today I walked into a transvestite. Screamed in it’s face. Scared the living shit out of me!! Thought I handled the situation well.,4,Negative,3
2987,Bryce looks like a lesbian,4,Negative,3
2711,"ladies, if he:

-- lives in a pineapple under the sea
-- is absorbent 
-- is yellow
-- is porous

He's not your man, he's an asexual member of the phylum Porifera who reproduces through fragmentation or expulsion of genmules",3,Neutral,2
3907,every lgbt person should kno their history and it pisses me off so fucknfdkvbug much when ppl take what those did before us for granted,2,Positive,1
5173,. says there has been “a good start” and “progress is being made” on addressing medical interventions on Victorian minors with an intersex variation,2,Positive,1
1273,lily aldrin is bisexual as fuck okay,3,Neutral,2
1101,When I’m sucking Dick I use my ears for breathing .!  #dicksucker #snapinbio #dl #wheretheniggasat,3,Neutral,2
3266,"&gt;Rightwingers assuming we'll bail on Taiwan, because we bailed in Afghanistan after 20 years of a nothing-burger war

Lotta armchair chickenhawk cocksuckers in the area.",3,Neutral,2
4683,"I lost two followers for ""gay people can say that they are gay a lot if they want""

Good fucking riddance",2,Positive,1
3,"Queer &amp; trans kids, I know it's not this easy, but if you are able, try &amp; get the fuck out of those states. If you can't, please stay safe.",2,Positive,1
3213,"It's okay to be
-scared
-nervous
-insecure
-trans
-bi
-gay
-lesbian
-pan
-asexual
-(lgbt+)
-YOU

It's NOT okay to be 
-a bully
-a body shamer
-homophobic
-keeping someone from being themselves",1,Very_Positive,0
5662,"Borderlands 2, where at least three of the six main characters are confirmed shades of queer (Axton and Gaige are bi, Maya is canonically asexual), and two more are queer-coded (Sal is more interested in guns than romance, and Zer0 might not even have a gender)",2,Positive,1
4636,there can never be too many lgbtq+ characters,2,Positive,1
6133,"I mean, I have a bisexual best friend, and a pansexual, homosexual and lesbian friend and there's literally nothing wrong with that -W",1,Very_Positive,0
1601,Maybe you're a huge queer and I never realized it :confused face::confused face::confused face::confused face::confused face:,2,Positive,1
5134,"Let's make gingerbread houses, go to movies, see the la zoo lights, do gay shit but as homies, you know? Lol I just want to have fun lol",2,Positive,1
675,ATTN FAM: anyone know any v talented trans video editors looking for a freelance gig?,2,Positive,1
3010,"""Fuck you"" in advance to writers, sites, late night show hosts, etc. who will makes jokes about Michael Phelps' girlfriend being intersex.",2,Positive,1
1417,"Can I just say once again:

Fuck doctors. Fuck them for lying to Intersex people. Fuck them for keeping us separated. Fuck them for damaging language, human rights abuses, sexual abuse, molestation, and everything else. 

Fuck doctors.",3,Neutral,2
3632,This girl in my entrepreneurship group scheduled our group meeting today...in the Lesbian/Bi/Gay/Transgender room...are you kidding me,3,Neutral,2
4318,you can try and be as funny as you want and joke about transgender people and saying it’s fake but you look uneducated as fuck when there’s literal science behind being transgender,2,Positive,1
5646,"Being trans seems so much easier to navigate w/o kids tbh
-I wouldn't trade #ar for it ever,but he's utilised to void my identity by others.",3,Neutral,2
1027,"mom just found a contact in her phone ""cocksucker 007 big bonerz""",3,Neutral,2
5703,Sorry but why is some gimp called bionic toaster bullying people? You look like a potato and a dyke,4,Negative,3
2507,"did i ever tell you guys when i came out to my friend erin i told her MY name is aaron and she goes ""if IM erin... and YOURE aaron... whos flying the plane??"" and i think abt that alot . a real trans ally",3,Neutral,2
1809,It’s so dicks that what we all used to think Ciara was a tranny,4,Negative,3
1184,"Remember the innocent #LGBT people slaughtered like animals by ALL religions in history. FUCKRELIGION FOR JUSTIFYING THIS VIA YOUR ""GODS""",2,Positive,1
1577,"transsexual sitting in the wreckage of imperial capitalism bawling her eyes out over the ending to Saving Private Ryan, now on Amazon Prime",3,Neutral,2
2191,pizza man asexual moodboard: pizza man said dont fuck work,3,Neutral,2
5813,Ironically I'm saying all this as an asexual but anyone who disagrees with giving their partner equal pleasure is a shithead,2,Positive,1
710,Ur tongue looks like a tranny,4,Negative,3
2859,"I've noticed a very gendered form of condemnation and mistreatment of bisexual characters, no matter their gender that smacks of misogyny.",3,Neutral,2
857,"It’s pride month and I haven’t even made a post about the cast of YQ shame on me heres their sexualities (it’s not that important to the story);

Yokoka: bi
Mao: gay
Copycat: intersex/gay
Grace: ace/aro
Azha: straight (ally)
Fahrin: lesbian

Idk what the children are. /o/",3,Neutral,2
984,"Wow. All along I thought transgender are the ones who had operation to change their genitals. It turns out, they’re not called transgender, rather transsexual. And transgender as per wikipedia refers to people whose gender identity differs from their assigned sex.",2,Positive,1
252,Lol wtf is the cocksucker disease :face with tears of joy::face with tears of joy:,4,Negative,3
4199,"""did you know george michael is gay? well, was.. he's dead now"" i can't with my family :weary face::loudly crying face::face with tears of joy:",3,Neutral,2
2919,i wanna wake up to hot and nasty dms #horny #cock #cum #gay #bi #wmaf #wmbw #bwc #gooning #shemale #femboy #wankchat,3,Neutral,2
2731,Often I'm glad that white cis feminism completely overlooks trans women because there's enough ignorant thought-pieces on us as there is.,3,Neutral,2
5778,My brother finally stopped being a whore and canceling on our plan to watch Ocean's 8. It's happening tonight called and gays.,3,Neutral,2
3261,4:13 jane crocker is a butch lesbian,3,Neutral,2
1238,"Me:*starts listing of weird things that are considered sins in the bible* and that’s why people shouldn’t say being gay is a sin

My mum:Why do you keep talking about LGBTQ+ people anyway? You like boys right?

My bi ass: ǝɹnS",3,Neutral,2
1168,i Hate how a lotta cishet ppl just make characters they dont wanna deal with asexual like thanks a lot i'll beat you with my ace fists,2,Positive,1
211,"Up until the seventh grade, I thought transvestite was a type of suit.",4,Negative,3
5110,"I’m tired of getting a taste of gayness in shows, I want gay everything.",2,Positive,1
656,"if youre black, muslim and queer pls be my friend",3,Neutral,2
6190,"MLGBTtwatter:

1. Militantly ghey artillery commanders (“phag for effect!”)
2. Gurlboss sloots
3. Ghey-for-pay specops
4. I wuz raped in USMC and wrote a NYT piece and then joined the Army -Field Grade edition
5. Pronoun-in-bio fruity mil retirees

Great job, Joint Chiefs!",4,Negative,3
4895,Gays are so fucking messy omfg,4,Negative,3
3170,"After what was said on #rtept #MarRef debate im, more than ever, Scared about impact of those messages on yng LGBT kids watching this farce",2,Positive,1
5300,Hey queer it's national coming out day so why don't you tell the world how gay you are ,4,Negative,3
2221,"""My sister's, best friend's, cousin's, aunt is a lesbian. Do you know her?""

Omg. No. Shut up.",3,Neutral,2
4082,Gay black kids. Not funny haha funny queer,3,Neutral,2
4566,"Fear of a Queer Planet: #Homophobia &amp; #Transphobia = wish &amp; fantasy of a world without #LGBTQ people, ""they don't exist"" or ""s'not natural"".",2,Positive,1
1733,"Describe yourself: ""uh.. Sparkly bisexual.""",2,Positive,1
5370,"so many television shows have intersex-phobic ""jokes"". just heard one ab a person with a micro-penis on ""Grace &amp; Frankie"" :weary face:",2,Positive,1
3503,"My response was: I’m most certainly not anti-Trans. My agenda is much more complex. It saddens me that things have been reduced to ‘pro or anti’. Reminds me so much of the ‘stand-off’ in the 70s btw lesbian feminists and straight women feminists, where debate was often stifled.",3,Neutral,2
3404,"To avoid confusion or offense, businesses who demand right to refuse service to gay married couples, should put a sign up. #SSM #auspol",3,Neutral,2
5546,"I be

Very black.
Very queer.
Very femme.
Very not fucking with your bullshit.",2,Positive,1
5064,"girldick. like if u agree
nb dick. like if u agree
boypussy. like if u agree
nb pussy. like if u agree
intersex ppl. like if u agree

:3c",3,Neutral,2
4736,i think blueface is bisexual,2,Positive,1
96,"Odd moment at Ukip hustings as David Kurten names as one of his 3 main priorities opposing what he calls ""the transgender agenda"" in schools",3,Neutral,2
3822,dan knows mars is gay thats all that matters really,3,Neutral,2
1838,#BigData #Analytics #BI Great people to follow #FS       ,3,Neutral,2
2448,This whole Jussie Smollett attack is irking every last one of my nerves because dumbasses are trying to justify the “one thing or another” debate. He is BLACK and GAY there’s no separating the two that’s who he is.,3,Neutral,2
3439,"Lebraun James: Wow, I can’t believe I’m hanging out with Big Chungus 

Bugs Bunny after (transforming into big chungus): In the flesh gaywad",3,Neutral,2
3553,"Hey guys. I've been wanting to say this for awhile now, but I've been afraid of what people will think about me.... I am gay.",3,Neutral,2
2046,M cross dress bottom boy Islamabad. I need sissy or shemale boyfriend or husband,3,Neutral,2
1374,"Today on #IntersexDayofSolidarity we celebrate #intersex people, and stand in #solidarity with them. #intersexawareness #intersexrights",1,Very_Positive,0
3784,"If your team aint in your bio, or u never tweet about them... Don't @ me about mine :face with tears of joy::face with tears of joy: u bandwagon ass faggots",5,Very_Negative,4
1413,is the bisexual/pan version of eskimo bros eskimo siblings or is there something cooler like coochie cousins or booty bros,3,Neutral,2
5344,"I just met a fucking suicidal schizophrenic transgender , something does not add up here",4,Negative,3
3610,"My sister had a ""nice time"" on her date but also ""not sure if he's gay""",3,Neutral,2
5277,If you don't want someone it's probably bc someone screwed u over or u been on tumblr too long and think ur asexual,3,Neutral,2
2160,summer aesthetic: trying to rest my wrist by reading webcomics about The Gays,3,Neutral,2
793,"The Dilbert guy is no LGBT ally, but his posts are pretty gay",3,Neutral,2
2526,Confession 7- I hate gays,5,Very_Negative,4
3528,"#HornyOnMain

Midnight: How about just being fucked and knotted by an intersex werewolf and stuck for 8 hours for the best sleep?

...first thing I thought of is certain lass with a werewolf character and stuff from MFF.",3,Neutral,2
617,about to rock the house @ the American Academy of Pediatrics annual conference LGBT panel! preaching no #intersex surgeries,2,Positive,1
3534,"No Country For LGBT Man
#SeanSpicerAFilm",4,Negative,3
3067,When *not* famous people can openly be gay and not turn a single head is when the #LGBT community will have conquered #homophobia.,2,Positive,1
6238,"I pray one day, gay marriage will be accepted in ohio. I will forever support the LGBT community.",1,Very_Positive,0
3550,i will pay kevin barnes a crisp $5 bill to put godly intersex or gallery piece back on the setlist,3,Neutral,2
3625,my old english professor passed by the table where i was advocating for lgbt+ rights lmao surprise carl i'm gay,3,Neutral,2
4013,"Dear leftist and feminists; If you don’t support the rights of intersex, non-binary and trans people you are not a feminist, you’re a bigot. And as a leftist you are going against the ethos of socialist and left wing politics. Be inclusive or GTFO. 
Also: JK Rowling is trash",2,Positive,1
3068,Tried trimming my beard. Fucked up. Had to shave. Now I look like a lesbian and my face is cold.,4,Negative,3
5288,"Puka is engaging in some very aggressive, same sex, inter species humping with my arm.",3,Neutral,2
2691,"top 3 things lee chan has done for the lesbians: 
1. being born
2. reading that book
3. dino seventeen the real thing solo at diamond stage concert",3,Neutral,2
4693,I once called a girl a cum guzzler.,3,Neutral,2
2735,"As of today, Asexual Artists is 3 years old. I'm still rather surprised (when I started it, I figured I'd be lucky to last a few months)",2,Positive,1
5263,oryx is trans &amp; you're cowards,3,Neutral,2
4472,"I am small, angry, and bisexual and this is the hill I will die on.",2,Positive,1
4427,I'm so over the teen wolf social media crew tho. It's either queer baiting or Stydia. Let's not pretend.,3,Neutral,2
722,Your sex life as a trans man is your business just as every cis person's sex life is theirs,1,Very_Positive,0
3328,"""We're not lesbians were just friends!""",3,Neutral,2
6219,After three generations of bi women i finally broke the streak with my pan ass wOOP,3,Neutral,2
1924,"aaaaaa ""intersex"" is not a more polite synonym for ""herm"", stop describing porn as intersex",3,Neutral,2
3234,LGBT community mocking Xs death so fucking cancer,4,Negative,3
1202,"I just don't understand what the deal is with the anti-asexual nonsense I've been seeing lately. I don't care if it means the acronym has ten letters and is virtually unpronounceable, don't L-G-Be an asshole just because someone's orientation is different than yours.",2,Positive,1
2653,Bisexual.. Simply a cover up for those that cannot accept being gay.,5,Very_Negative,4
4389,My relationship goal is to be as cute and happy as the old gay couple that came into my work today:two hearts:,2,Positive,1
5069,"To the kid who is just sitting in class packing his tin, stfu I'm not selling you chew again! #annoyingasfuck #queer",4,Negative,3
3766,"my uber driver today was so fucking transphobic, he really told me that being trans is just a trend. fix that shit &amp; give me a refund ",2,Positive,1
4848,"""she's bisexual""
""she needs to bi kill herself""",4,Negative,3
4291,"2)[TRANS] STAFF BLOG 12.08.18 -
GD, Happy birthday!
(we had a delicious cake)
 *with a pic of cake written Happy Birthday*",3,Neutral,2
904,"So let me get this straight. You're a transsexual, a former man that identifies and ""acts like"" a woman. You are sexually attracted to men and present yourself to attract men. WHY ARE YOU PUBLICALLY LAMBASTING THE STRAIGHT MEN YOU ARE TRYING TO ATTRACT??????",4,Negative,3
34,Guys are so dumb I wish I were a lesbian.,3,Neutral,2
4599,IGNORE THIS IF UR TIRED OF SEEING ASEXUAL LGBT DRAMA but aroaces are ruining pride month for me they wont stop complaining and ive just seen nothing but drama and shit like can yall just let lgbt+ ppl enjoy their pride without acting oppressed y’all really dont care about lgbt+,4,Negative,3
1317,tfw you're unsure if you're actually asexual or your brain just lacks the energy for even libido because of fatigue,3,Neutral,2
462,Great to see an #lgbt fan group North of the border! Very best wishes to 's ,2,Positive,1
4260,I NEED to see Jhene Aiko live but I can’t go on my ones ffs otherwise I’ll look like a batty boy :rolling on the floor laughing::rolling on the floor laughing::rolling on the floor laughing:,4,Negative,3
4812,The lesbian world is actual full a psychopaths man :expressionless face::kitchen knife:,3,Neutral,2
2058,Why is there no version of The Bachelorette with 100% hot gay men because I would watch the heck outta that,2,Positive,1
5052,There is no chance that tonight’s Drag Race episode will be as entertaining as the last 24 hours on gay Drag Race Twitter,1,Very_Positive,0
4141,Podcasting about Kabi's My Lesbian Experience With Loneliness with  &amp; need a queer female perspective. Contact haca if interested.,2,Positive,1
