,text,inputs,prediction,prediction_agent,annotation,annotation_agent,vectors,multi_label,explanation,id,metadata,status,event_timestamp,metrics
0,"Lesbians don't get surprise pregnancies and are forced to grow up. We have to grow up on our own first, then decide when to have a kid.","{'text': ""Lesbians don't get surprise pregnancies and are forced to grow up. We have to grow up on our own first, then decide when to have a kid.""}",,,3 (neutral),admin,,False,,3001,,Validated,2023-10-13 17:41:08.553666,{'text_length': 135}
1,There are sooooo many lesbians in this theatre for Monkingjay #HelloKatniss,{'text': 'There are sooooo many lesbians in this theatre for Monkingjay #HelloKatniss'},,,3 (neutral),admin,,False,,3002,,Validated,2023-10-13 17:41:08.553799,{'text_length': 75}
2,"“@MichiganGent777: Yes I'm that good looking” Highly doubtful. You're a gent, most gents are heinous and queer.","{'text': ""“@MichiganGent777: Yes I'm that good looking” Highly doubtful. You're a gent, most gents are heinous and queer.""}",,,4 (hateful/unsupportive),admin,,False,,3003,,Validated,2023-10-13 17:41:08.553888,{'text_length': 111}
3,Some trans women have vaginas.Some trans women have penises.Some trans women are intersex. Best to avoid blanket statements abt our genitals,{'text': 'Some trans women have vaginas.Some trans women have penises.Some trans women are intersex. Best to avoid blanket statements abt our genitals'},,,2 (positive/supportive),admin,,False,,3004,,Validated,2023-10-13 17:41:08.553962,{'text_length': 140}
4,Becoming asexual because boys are idiots 😊😊😊😊😊😊😊😊😊,{'text': 'Becoming asexual because boys are idiots 😊😊😊😊😊😊😊😊😊'},,,4 (hateful/unsupportive),admin,,False,,3005,,Validated,2023-10-13 17:41:08.554030,{'text_length': 50}
5,Just called my mom a lesbian and she freaked out on me. I DO NOT UNDERSTAND,{'text': 'Just called my mom a lesbian and she freaked out on me. I DO NOT UNDERSTAND'},,,4 (hateful/unsupportive),admin,,False,,3006,,Validated,2023-10-13 17:41:08.554097,{'text_length': 75}
6,if I have to listen to this trans/homophobic pair of ladies talk about how our generation is going downhill for one more second I may flip,{'text': 'if I have to listen to this trans/homophobic pair of ladies talk about how our generation is going downhill for one more second I may flip'},,,1 (extremely positive/supportive),admin,,False,,3007,,Validated,2023-10-13 17:41:08.554162,{'text_length': 138}
7,"GOP Passes 'Most Anti-LGBT Platform' ever, Log Cabin Repubs Shocked
No word if that was with a taser or electric prod for conversion therapy","{'text': ""GOP Passes 'Most Anti-LGBT Platform' ever, Log Cabin Repubs Shocked\nNo word if that was with a taser or electric prod for conversion therapy""}",,,1 (extremely positive/supportive),admin,,False,,3008,,Validated,2023-10-13 17:41:08.554227,{'text_length': 140}
8,Females that claim they gay but end up pregnant can not be trusted 🤷🏽‍♀️ ijs,{'text': 'Females that claim they gay but end up pregnant can not be trusted 🤷🏽\u200d♀️ ijs'},,,3 (neutral),admin,,False,,3009,,Validated,2023-10-13 17:41:08.554293,{'text_length': 76}
9,"""Fuck you"" in advance to writers, sites, late night show hosts, etc. who will makes jokes about Michael Phelps' girlfriend being intersex.","{'text': '""Fuck you"" in advance to writers, sites, late night show hosts, etc. who will makes jokes about Michael Phelps\' girlfriend being intersex.'}",,,1 (extremely positive/supportive),admin,,False,,3010,,Validated,2023-10-13 17:41:08.554360,{'text_length': 138}
10,I hate watching gender debates where people for only two genders say things like “scientifically!!! You’ll only be ONE gender!!! It’s just SCIENCE” yet NO trans people or allies retort with the intersex argument?,{'text': 'I hate watching gender debates where people for only two genders say things like “scientifically!!! You’ll only be ONE gender!!! It’s just SCIENCE” yet NO trans people or allies retort with the intersex argument?'},,,3 (neutral),admin,,False,,3011,,Validated,2023-10-13 17:41:08.554448,{'text_length': 212}
11,"#TAZspoilers my favorite BoB NPCs are 
1) Team Sweet Flips as a collective because lesbians and robots 
2) Johann
3) Avi",{'text': '#TAZspoilers my favorite BoB NPCs are \n1) Team Sweet Flips as a collective because lesbians and robots \n2) Johann\n3) Avi'},,,3 (neutral),admin,,False,,3012,,Validated,2023-10-13 17:41:08.554514,{'text_length': 120}
12,"""It hurts that white LGBT dont focus on Black people, but it also hurts that Black LGB people dont focus on trans people."" @fakerapper","{'text': '""It hurts that white LGBT dont focus on Black people, but it also hurts that Black LGB people dont focus on trans people."" @fakerapper'}",,,3 (neutral),admin,,False,,3013,,Validated,2023-10-13 17:41:08.554580,{'text_length': 134}
13,"Oh hey, in case you didnt fucking know im bisexual and like both male and female people. AHAHAHAHAHAHAHA","{'text': 'Oh hey, in case you didnt fucking know im bisexual and like both male and female people. AHAHAHAHAHAHAHA'}",,,2 (positive/supportive),admin,,False,,3014,,Validated,2023-10-13 17:41:08.554644,{'text_length': 104}
14,Gay Update: I'm currently feeling unfalteringly gay.,"{'text': ""Gay Update: I'm currently feeling unfalteringly gay.""}",,,5 (extremely hateful/unsupportive),admin,,False,,3015,,Validated,2023-10-13 17:41:08.554724,{'text_length': 52}
15,Okay seriously what is this shit about Justin being bisexual..... this fandom is so bored smh,{'text': 'Okay seriously what is this shit about Justin being bisexual..... this fandom is so bored smh'},,,3 (neutral),admin,,False,,3016,,Validated,2023-10-13 17:41:08.554793,{'text_length': 93}
16,"hey, I still haven't changed my mind, won't ever be, if you think ace/aro people aren't queer then please unfollow me. or even better: show yourself so I can block your shitty face","{'text': ""hey, I still haven't changed my mind, won't ever be, if you think ace/aro people aren't queer then please unfollow me. or even better: show yourself so I can block your shitty face""}",,,2 (positive/supportive),admin,,False,,3017,,Validated,2023-10-13 17:41:08.554859,{'text_length': 180}
17,Reminder: queer women in relationships with men are still in queer relationships. My relationships aren't straight because I'M not straight,"{'text': ""Reminder: queer women in relationships with men are still in queer relationships. My relationships aren't straight because I'M not straight""}",,,2 (positive/supportive),admin,,False,,3018,,Validated,2023-10-13 17:41:08.554933,{'text_length': 139}
18,"Not that any of the characters in #Transparent are likeable, except for the Shelly and the rabbi, and Maura's two best Trans friends.","{'text': ""Not that any of the characters in #Transparent are likeable, except for the Shelly and the rabbi, and Maura's two best Trans friends.""}",,,2 (positive/supportive),admin,,False,,3019,,Validated,2023-10-13 17:41:08.554997,{'text_length': 133}
19,i wonder how much ppl who started as tumblr artist will become famous and create something gay,{'text': 'i wonder how much ppl who started as tumblr artist will become famous and create something gay'},,,5 (extremely hateful/unsupportive),admin,,False,,3020,,Validated,2023-10-13 17:41:08.555062,{'text_length': 94}
20,I'm so gay in love wow shoot m,"{'text': ""I'm so gay in love wow shoot m""}",,,5 (extremely hateful/unsupportive),admin,,False,,3021,,Validated,2023-10-13 17:41:08.555139,{'text_length': 30}
21,"...anyway bi and pan are distinct things by their own definitions

like i cant say im pan bc i dont think my attraction is fully without regard for gender, but i also work my definition of (my) bisexuality being attracted women and nb ppl regardless of presentation","{'text': '...anyway bi and pan are distinct things by their own definitions\n\nlike i cant say im pan bc i dont think my attraction is fully without regard for gender, but i also work my definition of (my) bisexuality being attracted women and nb ppl regardless of presentation'}",,,2 (positive/supportive),admin,,False,,3022,,Validated,2023-10-13 17:41:08.555208,{'text_length': 265}
22,Anyone involved in queer activism should be disgusted by the horribly frequent betrayal and abuse of trans and intersex people by queer ppl,{'text': 'Anyone involved in queer activism should be disgusted by the horribly frequent betrayal and abuse of trans and intersex people by queer ppl'},,,2 (positive/supportive),admin,,False,,3023,,Validated,2023-10-13 17:41:08.555274,{'text_length': 139}
23,I case it is not yet clear. STOP CASTING CIS ACTORS TO PLAY TRANS ROLES. CAST TRANS ACTORS. CIS ACTORS STOP ACCEPTING AND AUDITIONING FOR TRANS ROLES. BE AN ACTIVE ALLY OR SHUT THE FUCK UP.,{'text': 'I case it is not yet clear. STOP CASTING CIS ACTORS TO PLAY TRANS ROLES. CAST TRANS ACTORS. CIS ACTORS STOP ACCEPTING AND AUDITIONING FOR TRANS ROLES. BE AN ACTIVE ALLY OR SHUT THE FUCK UP.'},,,2 (positive/supportive),admin,,False,,3024,,Validated,2023-10-13 17:41:08.555340,{'text_length': 189}
24,"I can't believe I participated in a game called ""smear the queer"" regularly. What a fucked up name for a child's game.","{'text': 'I can\'t believe I participated in a game called ""smear the queer"" regularly. What a fucked up name for a child\'s game.'}",,,5 (extremely hateful/unsupportive),admin,,False,,3025,,Validated,2023-10-13 17:41:08.555409,{'text_length': 118}
25,Gay men and black trans women die everyday because of niggas like xxxtension and y’all don’t give a flying fuck but y’all care sooo much that somebody don’t care that this guy (a homophobic abuser) died??? I’m confused,{'text': 'Gay men and black trans women die everyday because of niggas like xxxtension and y’all don’t give a flying fuck but y’all care sooo much that somebody don’t care that this guy (a homophobic abuser) died??? I’m confused'},,,3 (neutral),admin,,False,,3026,,Validated,2023-10-13 17:41:08.555476,{'text_length': 218}
26,"Boxing channels in the LGBT are VERY pro black, call other black people coons but pretend they're not racist to white people. It's laughable","{'text': ""Boxing channels in the LGBT are VERY pro black, call other black people coons but pretend they're not racist to white people. It's laughable""}",,,3 (neutral),admin,,False,,3027,,Validated,2023-10-13 17:41:08.555541,{'text_length': 140}
27,Are anyone else's dogs lesbians,"{'text': ""Are anyone else's dogs lesbians""}",,,4 (hateful/unsupportive),admin,,False,,3028,,Validated,2023-10-13 17:41:08.555606,{'text_length': 31}
28,":D Do you think the term ""#LGBT"" is outdated? Does it exclude others within our community such as #pansexual, #asexual etc? ~ #Questions","{'text': ':D Do you think the term ""#LGBT"" is outdated? Does it exclude others within our community such as #pansexual, #asexual etc? ~ #Questions'}",,,3 (neutral),admin,,False,,3029,,Validated,2023-10-13 17:41:08.555672,{'text_length': 136}
29,It is legal to discriminate against someone for being transgender in 34 out of the 50 states.... What the hell,{'text': 'It is legal to discriminate against someone for being transgender in 34 out of the 50 states.... What the hell'},,,3 (neutral),admin,,False,,3030,,Validated,2023-10-13 17:41:08.555794,{'text_length': 110}
30,Seth Bullock is every bit the cocksucker that Al Swearengen suggests.,{'text': 'Seth Bullock is every bit the cocksucker that Al Swearengen suggests.'},,,5 (extremely hateful/unsupportive),admin,,False,,3031,,Validated,2023-10-13 17:41:08.555896,{'text_length': 69}
31,"For those who struggle with their #LGBT sexuality on #NewYearsEve -please know that you are loved, admired, and accepted unconditionally.","{'text': 'For those who struggle with their #LGBT sexuality on #NewYearsEve -please know that you are loved, admired, and accepted unconditionally.'}",,,1 (extremely positive/supportive),admin,,False,,3032,,Validated,2023-10-13 17:41:08.555965,{'text_length': 137}
32,"Get your paws off her, shes MY TRANSGENDER MOTHERFUCKER!","{'text': 'Get your paws off her, shes MY TRANSGENDER MOTHERFUCKER!'}",,,3 (neutral),admin,,False,,3033,,Validated,2023-10-13 17:41:08.556031,{'text_length': 56}
33,When you are writing sad moments for your asexual character and begin to cry. #amwriting,{'text': 'When you are writing sad moments for your asexual character and begin to cry. #amwriting'},,,2 (positive/supportive),admin,,False,,3034,,Validated,2023-10-13 17:41:08.556095,{'text_length': 88}
34,tfw ur a bicoastal bisexual,{'text': 'tfw ur a bicoastal bisexual'},,,3 (neutral),admin,,False,,3035,,Validated,2023-10-13 17:41:08.556159,{'text_length': 27}
35,Asked Annalise about the Bermuda Triangle and she’s in deep about transsexual fish,{'text': 'Asked Annalise about the Bermuda Triangle and she’s in deep about transsexual fish'},,,4 (hateful/unsupportive),admin,,False,,3036,,Validated,2023-10-13 17:41:08.556224,{'text_length': 82}
36,As a lesbian I am confused as to why 🍆 is in my recently used emojis,{'text': 'As a lesbian I am confused as to why 🍆 is in my recently used emojis'},,,3 (neutral),admin,,False,,3037,,Validated,2023-10-13 17:41:08.556289,{'text_length': 68}
37,anyways if you don't tag/warn for NSFW pics you should start ! dont make asexual people uncomfortable ✨ thank,"{'text': ""anyways if you don't tag/warn for NSFW pics you should start ! dont make asexual people uncomfortable ✨ thank""}",,,2 (positive/supportive),admin,,False,,3038,,Validated,2023-10-13 17:41:08.556354,{'text_length': 109}
38,"As an American, I have no idea what #Eurovision is, but it looks damn entertaining. And it seems a trans woman won this year? Brilliant.","{'text': 'As an American, I have no idea what #Eurovision is, but it looks damn entertaining. And it seems a trans woman won this year? Brilliant.'}",,,1 (extremely positive/supportive),admin,,False,,3039,,Validated,2023-10-13 17:41:08.558544,{'text_length': 136}
39,lgbt means let's get baked together,"{'text': ""lgbt means let's get baked together""}",,,5 (extremely hateful/unsupportive),admin,,False,,3040,,Validated,2023-10-13 17:41:08.558733,{'text_length': 35}
40,"Then tomorrow we start our weekend road trip, off to Birmingham for a lesbian evening/dinner then off the Brighton Sunday🙌🏼 #roadtrip #lfest","{'text': 'Then tomorrow we start our weekend road trip, off to Birmingham for a lesbian evening/dinner then off the Brighton Sunday🙌🏼 #roadtrip #lfest'}",,,3 (neutral),admin,,False,,3041,,Validated,2023-10-13 17:41:08.558846,{'text_length': 140}
41,"Happy #PrideMonth! Remember, 1 in 1500 people are born intersex!","{'text': 'Happy #PrideMonth! Remember, 1 in 1500 people are born intersex!'}",,,1 (extremely positive/supportive),admin,,False,,3042,,Validated,2023-10-13 17:41:08.558933,{'text_length': 64}
42,"Woke ""historic firsts"" generated by intersectionality is one of its most visible forms of propaganda. If there's trouble making it seem ""first"" enough, they can always add in an arbitrary time period.

Congratulations to the first Latina Muslim transexual elected in ten years!","{'text': 'Woke ""historic firsts"" generated by intersectionality is one of its most visible forms of propaganda. If there\'s trouble making it seem ""first"" enough, they can always add in an arbitrary time period.\n\nCongratulations to the first Latina Muslim transexual elected in ten years!'}",,,2 (positive/supportive),admin,,False,,3043,,Validated,2023-10-13 17:41:08.559005,{'text_length': 277}
43,Oh my god!! I wish I could be a huge queer too and put a stupid diesel stack on my shitty ass truck!!! #yaaayyy 😂 #youaresogay,{'text': 'Oh my god!! I wish I could be a huge queer too and put a stupid diesel stack on my shitty ass truck!!! #yaaayyy 😂 #youaresogay'},,,5 (extremely hateful/unsupportive),admin,,False,,3044,,Validated,2023-10-13 17:41:08.559077,{'text_length': 126}
44,"She's setting a reminder to sit John down and discuss why ""cocksuckers"" is not appropriate in a public address.","{'text': 'She\'s setting a reminder to sit John down and discuss why ""cocksuckers"" is not appropriate in a public address.'}",,,2 (positive/supportive),admin,,False,,3045,,Validated,2023-10-13 17:41:08.559146,{'text_length': 111}
45,"#Christchurch
How?
Why?
Who's fu*****Son of bi***That?
He is terrorist, media shouldn't ignore this attack, a masjid or a church or any temple doesn't matter when this place includes innocent people, this animal who named ""man"" has no humanity,
Allah helps victims' families 😭","{'text': '#Christchurch\nHow?\nWhy?\nWho\'s fu*****Son of bi***That?\nHe is terrorist, media shouldn\'t ignore this attack, a masjid or a church or any temple doesn\'t matter when this place includes innocent people, this animal who named ""man"" has no humanity,\nAllah helps victims\' families 😭'}",,,1 (extremely positive/supportive),admin,,False,,3046,,Validated,2023-10-13 17:41:08.559215,{'text_length': 276}
