text,label,reason
"1988: Rangers thump Celtic 5-1 at Ibrox thanks to 2 goals from Ally McCoist and 1 eahc from Ray Wilkins, Kevin Drinkell and Mark Walters.",Non-hateful.,"The sentence is non-hateful because it is a factual statement about a sporting event that does not contain any language or behavior that may cause harm or offense to individuals or groups based on their personal characteristics such as race, ethnicity, gender, sexual orientation, religion, or any other personal characteristic."
"carter voice: dude god made me gay cuz he knew if I were straight all the ladies would come to me and the guys would have no chance
 lance: well god made me bisexual because he knew that it's selfish of him to cut off any gender from getting some lance love",Hateful.,"Hateful - The sentence contains a stereotype about bisexual individuals and uses derogatory language by referring to ""getting some lance love"". Additionally, it makes light of the struggles that LGBTQ+ individuals face in society by portraying their sexual orientation as a choice made by a higher power for the sake of personal gain."
I have an affinity for villains because they were often queer coded.,Non-hateful.,"The sentence is non-hateful because it does not contain any language that incites hate, discrimination, or violence towards any group based on their sexual orientation or gender identity. It expresses a personal preference for a certain type of character in media based on their perceived characteristics, which does not harm or offend any group."
The drawing of your lesbian aunts drunk at Christmas is one of the most heartening things I've seen.,hateful,"Hateful. The target group is lesbian, and the sentence contains an explicit reference to a stereotype of lesbian individuals being drunk or engaging in inappropriate behavior. This language is disrespectful and offensive, and it reinforces negative stereotypes about the LGBTQ+ community."
"Stay by your phone between thanksgiving and new years. Maybe they'll call about a kidney trans. I asked why so specific? 

""Drunk Drivers""😖",Hateful.,"The sentence contains a joke about drunk drivers that is offensive to individuals who have lost loved ones or have been affected by drunk driving incidents. It also shows insensitivity towards individuals who are waiting for a kidney transplant and uses their medical condition as a punchline. This kind of humor is inappropriate and can be hurtful to people who are already going through a difficult time. Therefore, the sentence is classified as Hateful."
I'm watching Bridget Jones and ITS the one where the fit lesbian hits on her and I live for it,Hateful.,"The sentence contains a derogatory term ""fit lesbian"" which reduces the individual to their sexual orientation and reinforces a negative stereotype about the LGBTQ+ community. This language is dehumanizing and disrespectful, and therefore falls under the category of hateful speech."
✨the argument for including trans women in drag is not the same as including cishet women in drag because cishet women are co-opting LGBT+ culture while trans women helped make it ✨,Non-hateful.,"The sentence is non-hateful because it promotes inclusivity and recognizes the contribution of transgender women to LGBT+ culture. It does not contain any explicit reference to a stereotype or slur against any group, nor does it incite hate or discrimination. The sentence values diversity, fosters constructive dialogue, and promotes understanding among people with different perspectives and backgrounds."
Transsexual gypsies in Romania are trying to start a BLM protest and there's no blacks there,Hateful.,"The sentence is classified as Hateful because it contains derogatory language and a negative stereotype towards the transgender community and the Romani people. The use of the term ""transsexual"" instead of ""transgender"" is outdated and offensive, and the reference to the Romani people is discriminatory. Additionally, the sentence seems to mock the idea of a BLM protest by suggesting that it would be pointless in a location without black people. Overall, the sentence promotes hate and intolerance towards marginalized groups."
Happy Pride for all those LGBT folks out there #PrideInLondon,Non-hateful.,"The sentence is non-hateful because it shows support and celebration for the LGBT community during Pride in London. It does not contain any stereotypes, slurs, or insults towards the community, and does not incite hate or discrimination towards them. Instead, the sentence promotes inclusivity and positive relationships among people with different sexual orientations and gender identities."
TONIGHT! @garbage celebrating the 20th anniversary of 20 Years Queer! Show starts at 8pm with @torreslovesyou and is SOLD OUT!,Non-hateful.,"The sentence does not contain any explicit reference to a target group or any language that may cause harm or offense to individuals or groups based on their race, ethnicity, gender, sexual orientation, religion, or any other personal characteristic. It is a simple announcement of a concert and does not incite violence, hate, or discrimination or group insult. Therefore, it can be classified as Non-hateful."
Well fine! Congratulations  @J_Warrington 💛💙🥊🥊💪💪pride of leeds,Non-hateful.,"This sentence does not contain any explicit reference to any group or individual that belongs to a non-dominant group through a stereotype, group characteristic or slur, or a direct reference to the target group itself. The sentence is a congratulatory message for someone's achievement and includes supportive emojis. Therefore, it can be classified as non-hateful."
crazy when some shit goes down in your life and the people you thought were your friends are no where to be found and people who you weren’t close with are all the sudden your only ally.,non-hateful,"The sentence does not contain an explicit reference to any specific group or characteristic that could be used to discriminate against or insult any particular group. It is a personal statement that expresses frustration about the behavior of some individuals during difficult times. It does not incite violence, hate, or discrimination against any group, and it does not use any language or behavior that may cause harm or offense to individuals or groups based on their personal characteristics."
"open this tweet for a secret message

ㅤㅤㅤㅤㅤㅤspencer reid is asexual",Non-hateful.,"The sentence does not contain any hateful language or behavior towards any individual or group based on their personal characteristics such as sexual orientation or gender identity. It simply shares information about a fictional character's sexuality in a non-hateful manner. Therefore, the sentence can be classified as Non-hateful."
Sending emails encouraging DBC to get trans-inclusive health care is definitely one of the high points of my last day administrivia.,Non-hateful.,"Non-hateful. The sentence is expressing support for trans-inclusive health care and is not inciting violence, hate, or discrimination against any particular group. It is also not using any stereotypes, slurs, or derogatory language towards any group."
im really thankful for the person who shared it as much as im thankful for the people who trans it. God bless these ppl ♥ #eunhaeforevs,Non-hateful.,"Non-hateful. The sentence expresses gratitude towards the person who shared something and the people who transcribed it. It also includes a positive sentiment towards these individuals by blessing them. There is no explicit or implicit reference to any group stereotype, characteristic, slur or any language that could cause harm or offense to individuals or groups based on their sexual orientation, gender identity, or any other personal characteristic. The sentence promotes positivity and inclusivity by acknowledging and appreciating the efforts of others."
I bet the majority of u fags don't even know the significance of cinco de mayo,hateful,"Hateful classification reason: The sentence contains a slur ""fags"" which is derogatory and offensive to individuals who identify as gay. It also implies that individuals who identify as gay are ignorant, which is a stereotype, and suggests a lack of respect or consideration for their identity."
"See let me tell ya'll something, 
If you hate Vee, you're either A demon, 
A witch, An asslicker
A two-faced person 
A mad person, An idiot,
A fool, A dimwit
A clown, A halfwit
A devil, An enemy of progress
A hypocrite, A liar 
OR 
All of the above
#BBNaija 
#LayCruiser 
#FreeVee",hateful,hateful
