id,Text,Label_Id,Label,Label_Rev
1,"if you need to soothe a flustered Caucasian this holiday season, put on some Trans Siberian Orchestra. we love that shit.",1,Non_Hate,0
2,"Afaik I’m not intersex and I don’t know enough about anything to make statements, but I do know that on the other hand people are also starting to call intersex their characters that were previously called c*ntboys and d*ckgirls and that’s also something that really burns me!",1,Non_Hate,0
3,"Queer &amp; trans kids, I know it's not this easy, but if you are able, try &amp; get the fuck out of those states. If you can't, please stay safe.",1,Non_Hate,0
4,"I got called 'gay' (as if it's an insult to be homosexual), for expressing my feminist views and desire for equality in gender.. Fuck you",1,Non_Hate,0
5,Valid to unfollow me at any time but if you do so immediately after I talk about being intersex implying that the reason is somehow related to those posts you are going to go on my “stupid bitch” list! Sorry that’s just how it is!,1,Non_Hate,0
6,I ship [queer ship] how can I be homophobic?! f*ggot!,1,Non_Hate,0
7,"""Pearl, you're the bisexual's dream date."" Yes, yes, you are. #RuPaulsDragRace #confessions  ",1,Non_Hate,0
8,Fuck this Transsexual WiFi. It's pain in the ass since typhoon Gener hits Philippines. I wish I could lose shit during multiple orgasms. Lol,1,Non_Hate,0
9,Definitions of Labiacon: 1)The greatest bacon ever. 2)The lesbian comic-con. 3)The gayest super-villain.,1,Non_Hate,0
10,Which of the #Wentworth girls would be the Grace Kelly of the “lezzo Monte Carlo”? #WentworthPrison,1,Non_Hate,0
11,His punk ass could never scare me im from poverty dummy u mad cause u bisexual,2,Hate,1
12,Oh fuck I love being lesbian. Girls are so hot. #lesbiansquad,1,Non_Hate,0
13,Had an amazing time this evening on the #deadgoodshow on  speaking to  about Growing up #Intersex ,1,Non_Hate,0
14,"for the love of fucking christ please stop fucking writing non-human shape-shifting characters as ""trans"" it fucking reads as fetish-y every single time and is really fucking squicky in regards to intersex conditions like HOLY FUCK STOP

unpop op but like u r g h",1,Non_Hate,0
15,i have a v good character concept for a dnd character which is like.. big useless bisexual halfling enchantment wizard lady,1,Non_Hate,0
16,It doesn't matter if your house suddenly published 10 bks with all POC &amp; LGBTQ cast if they're all stereotypes. That's not diversity,1,Non_Hate,0
17,"Look, I get that rainbow flag capitalism sucks but you can still take care of a family of 4-6 on a single income in the US. And while you have to give things up, those things are fake and ghey and you secretly hate them anyway",1,Non_Hate,0
18,I need a lesbian to take me under her wing and make me one too because boys in shit,1,Non_Hate,0
19,hey uh fuck cis people that act like trans people dont exist and fuck cis people that think they're inherently better than trans people. bottom line fuck transphobes,1,Non_Hate,0
20,"I don't. like. rly remember what I said to Kenny but it was like hey this is dumb it's been a really, really shitty past year to be LGBT in Australia what with the plebiscite and all but the whole G★L thing made me think maybe someone like me could have smth like that someday so",1,Non_Hate,0
21,Just overheard a woman refer to her two kids as “gaylords” and I can’t stop cackling,1,Non_Hate,0
22,"""Avery is a lesbian Keebler Elf"" ~My Male Birther",1,Non_Hate,0
23,alc// we are drink dronk TRULY and gay at this gay club and there are so nice neons and im having so much fun,1,Non_Hate,0
24,i am livid and i am tired and i wish i had the kind of voice that could ring loud and clear into the ears of those who are hurting but i feel so small. i feel so unhelpful. i literally just wanna scoop up all the queer kids who hear this shit and and hold them and protect them.,1,Non_Hate,0
25,"9 pm thought : Tired of trying to explain that trans people, intersex people non-binary people are real and struggle enough in life (to live literally) without your biggot hate. So much hate I can't take it today.",1,Non_Hate,0
26,#pathpopgen  mitotic gene conversion (LOH) and two-speed genome drive the evolution of asexual tree-infecting Phytophthora,1,Non_Hate,0
27,Happy birthday  ur a queer,1,Non_Hate,0
28,queer culture is not knowing how to fuckin drive,1,Non_Hate,0
29,"""Bisexual people are just greedy."" This phone-in on sexuality is bloody glorious.",1,Non_Hate,0
30,asexual satsuki hc? about fuckign time,1,Non_Hate,0
31,"And ""true trans"". That's just not a thing. If you think you're trans, you're trans. Binary, non-binary, genderfluid, it is all good.",1,Non_Hate,0
32,"yall always act like if ur bisexual u have to like girls just as much as guys but thats literally one of the stupidest and ugliest things ive heard, like yall never heard of preferences before??",1,Non_Hate,0
33,"friendly reminder that all dogs are gay.

thank you for coming to my ted talk.",1,Non_Hate,0
34,Guys are so dumb I wish I were a lesbian.,1,Non_Hate,0
35,"Nigerian babes are going a wire about sex tingy,GOD pls inter vain abeg.",1,Non_Hate,0
36,""":    lol my bad Bernie"" lmao it's okay :smiling face with smiling eyes: go watch some shemale porn lmao jk:face with tears of joy::face with tears of joy::face with tears of joy:",2,Hate,1
37,"Some lesbians can pull off both the ""butch"" and ""girly"" look. I can't pull either off. I'm just. The ugly lesbian :face with tears of joy::person tipping hand:",1,Non_Hate,0
38,"I would dress up for #Halloween tonight, but as Britain's leading censorious student transsexual I think I'm scary enough :face screaming in fear::smiling face with horns:",1,Non_Hate,0
39,I really like you guys I talk about rape and inter species sex and you still talk to me like wow ilu all,1,Non_Hate,0
40,The fact that Wentworth Miller is gay makes me want to cry myself to sleep every night for the rest of my existence on this cruel earth,1,Non_Hate,0
41,"i am: 

:white circle:️ gay 

:white circle:️ straight 

:white circle:️ pan
 
:white circle:️ bi

:white circle:️ asexual

:radio button: afraid of coming out to my mom because she might kick me out but at the same time I don’t really give a fuck if she don’t like me. I’ll live with my friend or in the auditorium at school. I love that place",1,Non_Hate,0
42,"To the man on a scooter who today screamed homophobic abuse calling us ‘bent, f*g batty boys’- your words will only make us prouder and stronger and you will not win.
Happy Pride Month :rainbow flag:",1,Non_Hate,0
43,"Apparently the sound i make when I'm about to fall on my face is very asexual, according to caleb and ",1,Non_Hate,0
