,text,inputs,prediction,prediction_agent,annotation,annotation_agent,vectors,multi_label,explanation,id,metadata,status,event_timestamp,metrics
0,summer 2015 aka spending four months watching low budget cute lgbt love films and and hating myself,{'text': 'summer 2015 aka spending four months watching low budget cute lgbt love films and and hating myself'},,,2 (positive),argilla,,False,,251,,Validated,2023-03-28 16:01:54.580851,{'text_length': 99}
1,Lol wtf is the cocksucker disease 😂😂,{'text': 'Lol wtf is the cocksucker disease 😂😂'},,,6 (can't say!),argilla,,False,,252,,Validated,2023-03-28 16:01:54.581042,{'text_length': 36}
2,heading to spring garden rd. library @ 12 to speak on panel re: telling queer stories for timeOUT's lecture series @HalifaxPride Come talk!,"{'text': ""heading to spring garden rd. library @ 12 to speak on panel re: telling queer stories for timeOUT's lecture series @HalifaxPride Come talk!""}",,,1 (extremely positive),argilla,,False,,253,,Validated,2023-03-28 16:01:54.581179,{'text_length': 139}
3,everybody be dicksucking a nigga so hard . 👌,{'text': 'everybody be dicksucking a nigga so hard . 👌'},,,4 (hateful),argilla,,False,,254,,Validated,2023-03-28 16:01:54.581300,{'text_length': 44}
4,I wish that I could personally thank the customer who accidentally asked for a 'medium iced dyke roast' instead of dark roast today,"{'text': ""I wish that I could personally thank the customer who accidentally asked for a 'medium iced dyke roast' instead of dark roast today""}",,,6 (can't say!),argilla,,False,,255,,Validated,2023-03-28 16:01:54.581420,{'text_length': 131}
5,"it was easier for me to gain access to surgery on my genitals as a known suicidal intersex teenager (no therapy), than it is now as an adult trans person trying to get GRS.

the mutilation of intersex ppl and the gatekeeping of trans ppl are two sides of the same shitty coin.","{'text': 'it was easier for me to gain access to surgery on my genitals as a known suicidal intersex teenager (no therapy), than it is now as an adult trans person trying to get GRS.\n\nthe mutilation of intersex ppl and the gatekeeping of trans ppl are two sides of the same shitty coin.'}",,,2 (positive),argilla,,False,,256,,Validated,2023-03-28 16:01:54.581548,{'text_length': 276}
6,I'm gonna shit if I don't go to flamecon next year?? All the queer artists I like are going this year and there's so many good pins!! I scream!!!,"{'text': ""I'm gonna shit if I don't go to flamecon next year?? All the queer artists I like are going this year and there's so many good pins!! I scream!!!""}",,,2 (positive),argilla,,False,,257,,Validated,2023-03-28 16:01:54.581670,{'text_length': 145}
7,lgbt+ members who exclude other lgbt+ members because they’re not oppressed enough (???) can go eff themselves,{'text': 'lgbt+ members who exclude other lgbt+ members because they’re not oppressed enough (???) can go eff themselves'},,,3 (neutral),argilla,,False,,258,,Validated,2023-03-28 16:01:54.581795,{'text_length': 110}
8,The best fag you will ever have is after a does of tidy bate,{'text': 'The best fag you will ever have is after a does of tidy bate'},,,6 (can't say!),argilla,,False,,259,,Validated,2023-03-28 16:01:54.581913,{'text_length': 60}
9,i clicked on a clickbait about a trans woman athlete and i'm crying,"{'text': ""i clicked on a clickbait about a trans woman athlete and i'm crying""}",,,2 (positive),argilla,,False,,260,,Validated,2023-03-28 16:01:54.582037,{'text_length': 67}
10,let's just reflect on the fact that my mom just asked me if I was a lesbian and was being completely serious about it,"{'text': ""let's just reflect on the fact that my mom just asked me if I was a lesbian and was being completely serious about it""}",,,3 (neutral),argilla,,False,,261,,Validated,2023-03-28 16:01:54.583837,{'text_length': 117}
11,"Name: Rj 
Age: 16
Sexuality: Asexual biromantic
Birthday: 5th April
Hobbies: Wasting time on this stupid bird site, yelling at nonliving matters, bullying @wlwallura and @AdamLovesShiro","{'text': 'Name: Rj \nAge: 16\nSexuality: Asexual biromantic\nBirthday: 5th April\nHobbies: Wasting time on this stupid bird site, yelling at nonliving matters, bullying @wlwallura and @AdamLovesShiro'}",,,3 (neutral),argilla,,False,,262,,Validated,2023-03-28 16:01:54.584000,{'text_length': 185}
12,omg the venue h is playing at is next to the gay village in montreal her bisexual mind,{'text': 'omg the venue h is playing at is next to the gay village in montreal her bisexual mind'},,,3 (neutral),argilla,,False,,263,,Validated,2023-03-28 16:01:54.584077,{'text_length': 86}
13,"me; it has cute lesbians
kiika and stampy; interest went up by 200%",{'text': 'me; it has cute lesbians\nkiika and stampy; interest went up by 200%'},,,2 (positive),argilla,,False,,264,,Validated,2023-03-28 16:01:54.584146,{'text_length': 67}
14,"""I'M HERE, I'M QUEER &amp; I NEED A BEER!""

The shit I hear at work lmao","{'text': '""I\'M HERE, I\'M QUEER &amp; I NEED A BEER!""\n\nThe shit I hear at work lmao'}",,,4 (hateful),argilla,,False,,265,,Validated,2023-03-28 16:01:54.584207,{'text_length': 72}
15,not to be dramatic or anything but I need a pound of weed in my gay lungs,{'text': 'not to be dramatic or anything but I need a pound of weed in my gay lungs'},,,3 (neutral),argilla,,False,,266,,Validated,2023-03-28 16:01:54.584269,{'text_length': 73}
16,"A recent Twitter discussion makes me think that I need to learn more about intersex people, and the issues they deal with. Can anyone recommend good resources? 

(Google is helpful, but also *unvetted* and I'd like to know I'm reading sources trusted by people I trust.)","{'text': ""A recent Twitter discussion makes me think that I need to learn more about intersex people, and the issues they deal with. Can anyone recommend good resources? \n\n(Google is helpful, but also *unvetted* and I'd like to know I'm reading sources trusted by people I trust.)""}",,,1 (extremely positive),argilla,,False,,267,,Validated,2023-03-28 16:01:54.584328,{'text_length': 270}
17,"""girls only say theyre bi when they dont want to come out as lesbian!"" bitch shut the Fuck Up","{'text': '""girls only say theyre bi when they dont want to come out as lesbian!"" bitch shut the Fuck Up'}",,,6 (can't say!),argilla,,False,,268,,Validated,2023-03-28 16:01:54.584386,{'text_length': 93}
18,Lesbian culture is always trying to keep your shirt sleeves rolled and failing miserably,{'text': 'Lesbian culture is always trying to keep your shirt sleeves rolled and failing miserably'},,,6 (can't say!),argilla,,False,,269,,Validated,2023-03-28 16:01:54.584444,{'text_length': 88}
19,"my grandparents: oh there's a lot of money in being bisexual 
me: pls explain my broke ass then","{'text': ""my grandparents: oh there's a lot of money in being bisexual \nme: pls explain my broke ass then""}",,,3 (neutral),argilla,,False,,270,,Validated,2023-03-28 16:01:54.584501,{'text_length': 95}
20,"Bisexual and LOVING life in the #LGBT world
#LGBTPROUD",{'text': 'Bisexual and LOVING life in the #LGBT world\n#LGBTPROUD'},,,1 (extremely positive),argilla,,False,,271,,Validated,2023-03-28 16:01:54.584633,{'text_length': 54}
21,One of those bumble cocksuckers stung my foot,{'text': 'One of those bumble cocksuckers stung my foot'},,,4 (hateful),argilla,,False,,272,,Validated,2023-03-28 16:01:54.584697,{'text_length': 45}
