,text,inputs,prediction,prediction_agent,annotation,annotation_agent,vectors,multi_label,explanation,id,metadata,status,event_timestamp,metrics
0,"So #Bisexual in image search as well as sex toys are banned by @TwitterSupport, but Nazis calling for genocide is A-OK on this site. Gotcha.","{'text': 'So #Bisexual in image search as well as sex toys are banned by @TwitterSupport, but Nazis calling for genocide is A-OK on this site. Gotcha.'}",,,5 (extremely hateful),argilla,,False,,5501,,Validated,2023-04-19 06:07:23.263052,{'text_length': 140}
1,#YesAllWomen have the right to safety. Cis. Trans*. Intersex. Bisexual. Lesbian. Sex workers. Disabled. Black. Brown. HIV Positive. etc.,{'text': '#YesAllWomen have the right to safety. Cis. Trans*. Intersex. Bisexual. Lesbian. Sex workers. Disabled. Black. Brown. HIV Positive. etc.'},,,1 (extremely positive),argilla,,False,,5502,,Validated,2023-04-19 06:07:23.263161,{'text_length': 136}
2,"hearing my 12yo neice say how shes bisexual &amp; told a girl at her school that ""bisexuals exist, deal with it!!"" makes me so fucking proud.

sweet little queer baby, never lose that strength ♡♡♡","{'text': 'hearing my 12yo neice say how shes bisexual &amp; told a girl at her school that ""bisexuals exist, deal with it!!"" makes me so fucking proud.\n\nsweet little queer baby, never lose that strength ♡♡♡'}",,,1 (extremely positive),argilla,,False,,5503,,Validated,2023-04-19 06:07:23.263242,{'text_length': 196}
3,"Britain's Prime Minister put in policies in place that demand LGBT refugees 'prove' they are queer via intimate photos, etc, or be deported","{'text': ""Britain's Prime Minister put in policies in place that demand LGBT refugees 'prove' they are queer via intimate photos, etc, or be deported""}",,,4 (hateful),argilla,,False,,5504,,Validated,2023-04-19 06:07:23.263308,{'text_length': 139}
4,Just called a customer a cocksucker and he thought I was joking lol,{'text': 'Just called a customer a cocksucker and he thought I was joking lol'},,,5 (extremely hateful),argilla,,False,,5505,,Validated,2023-04-19 06:07:23.263368,{'text_length': 67}
5,Some lesbian bitch touched my Michael kors purse today and I almost killed the kid,{'text': 'Some lesbian bitch touched my Michael kors purse today and I almost killed the kid'},,,5 (extremely hateful),argilla,,False,,5506,,Validated,2023-04-19 06:07:23.263428,{'text_length': 82}
6,Wow all I’ve been thinking about lately is having a threesome w two bisexual guys.,{'text': 'Wow all I’ve been thinking about lately is having a threesome w two bisexual guys.'},,,3 (neutral),argilla,,False,,5507,,Validated,2023-04-19 06:07:23.263486,{'text_length': 82}
7,"""Dude you look like a dyke""  
Like first of all you are totally being offensive to lesbian woman second of all dykes are cute so......","{'text': '""Dude you look like a dyke""  \nLike first of all you are totally being offensive to lesbian woman second of all dykes are cute so......'}",,,6 (can't say!),argilla,,False,,5508,,Validated,2023-04-19 06:07:23.263548,{'text_length': 134}
8,At my school you can tell what lesbian couples are together by the color of their hair,{'text': 'At my school you can tell what lesbian couples are together by the color of their hair'},,,4 (hateful),argilla,,False,,5509,,Validated,2023-04-19 06:07:23.263606,{'text_length': 86}
9,stop hating Caitlyn Jenner because she's transgender!!! hate her because she's a stupid homophobic bitch and an awful parent and human being,"{'text': ""stop hating Caitlyn Jenner because she's transgender!!! hate her because she's a stupid homophobic bitch and an awful parent and human being""}",,,5 (extremely hateful),argilla,,False,,5510,,Validated,2023-04-19 06:07:23.263663,{'text_length': 140}
