,text,inputs,prediction,prediction_agent,annotation,annotation_agent,vectors,multi_label,explanation,id,metadata,status,event_timestamp,metrics
0,"Fair Warning:

If you're LGBT and I see you adding that ""P"" to your alphabet soup I will DRAG your ass!","{'text': 'Fair Warning:\n\nIf you\'re LGBT and I see you adding that ""P"" to your alphabet soup I will DRAG your ass!'}",,,4 (hateful/unsupportive),admin,,False,,4501,,Validated,2023-09-26 08:34:04.387025,{'text_length': 103}
1,Omega! (Intersex) Deku squirting all over alpha! Kacchan’s cock as he’s knotted.,{'text': 'Omega! (Intersex) Deku squirting all over alpha! Kacchan’s cock as he’s knotted.'},,,3 (neutral),admin,,False,,4502,,Validated,2023-09-26 08:34:04.387136,{'text_length': 80}
2,"I am so proud to announce @StirvinoLady &amp; I, along w all the amazing contributors &amp; our incredible editors of DATES 2 Anthology @zhgilbert @CatParrts won a #PrismAward at #SDCC2018!

my lil #intersex heart can barely take it 💜😱😭🌈 #LGBTQIA #queercomics #representationmatters","{'text': 'I am so proud to announce @StirvinoLady &amp; I, along w all the amazing contributors &amp; our incredible editors of DATES 2 Anthology @zhgilbert @CatParrts won a #PrismAward at #SDCC2018!\n\nmy lil #intersex heart can barely take it 💜😱😭🌈 #LGBTQIA #queercomics #representationmatters'}",,,1 (extremely positive/supportive),admin,,False,,4503,,Validated,2023-09-26 08:34:04.387218,{'text_length': 282}
3,Just watched episode 1 of Queer Eye and omg I'm crying 😪😪 the transformation in Tom and seeing him so happy,"{'text': ""Just watched episode 1 of Queer Eye and omg I'm crying 😪😪 the transformation in Tom and seeing him so happy""}",,,1 (extremely positive/supportive),admin,,False,,4504,,Validated,2023-09-26 08:34:04.387314,{'text_length': 107}
4,Wishing to find a lesbian pillow fight on my bed when I get home.,{'text': 'Wishing to find a lesbian pillow fight on my bed when I get home.'},,,1 (extremely positive/supportive),admin,,False,,4505,,Validated,2023-09-26 08:34:04.387391,{'text_length': 65}
5,They should change the label of “bisexual” to “fun”,{'text': 'They should change the label of “bisexual” to “fun”'},,,2 (positive/supportive),admin,,False,,4506,,Validated,2023-09-26 08:34:04.387462,{'text_length': 51}
6,"Today I listened to Camera Obscura's ""Swans,"" a song I listened to heavily when I knew I was trans but was scared to transition.","{'text': 'Today I listened to Camera Obscura\'s ""Swans,"" a song I listened to heavily when I knew I was trans but was scared to transition.'}",,,2 (positive/supportive),admin,,False,,4507,,Validated,2023-09-26 08:34:04.387529,{'text_length': 128}
7,I hate when lezbo/gay artists make sexual references about the opposite sex in they’re music ????,{'text': 'I hate when lezbo/gay artists make sexual references about the opposite sex in they’re music ????'},,,3 (neutral),admin,,False,,4508,,Validated,2023-09-26 08:34:04.387595,{'text_length': 97}
8,"The sweetest women does either be lesbians, got a child or just stupid af","{'text': 'The sweetest women does either be lesbians, got a child or just stupid af'}",,,2 (positive/supportive),admin,,False,,4509,,Validated,2023-09-26 08:34:04.387659,{'text_length': 73}
9,"[ON AIR] ""Women knows when they marry bisexual men"" - Caller #KayaFMTalk","{'text': '[ON AIR] ""Women knows when they marry bisexual men"" - Caller #KayaFMTalk'}",,,2 (positive/supportive),admin,,False,,4510,,Validated,2023-09-26 08:34:04.389617,{'text_length': 72}
10,"Straight people are the 'push' doors
Gay people are the 'pull' doors
Bisexual people are the 'push and pull' doors
Pansexual people are the doors that swing in all directions 
Asexual people are walls","{'text': ""Straight people are the 'push' doors\nGay people are the 'pull' doors\nBisexual people are the 'push and pull' doors\nPansexual people are the doors that swing in all directions \nAsexual people are walls""}",,,2 (positive/supportive),admin,,False,,4511,,Validated,2023-09-26 08:34:04.389830,{'text_length': 200}
11,I've been just referred to as 'Lesbian Lee' haha that's a new one,"{'text': ""I've been just referred to as 'Lesbian Lee' haha that's a new one""}",,,2 (positive/supportive),admin,,False,,4512,,Validated,2023-09-26 08:34:04.389920,{'text_length': 65}
12,knew Herrera would be involved the lesbian wanker,{'text': 'knew Herrera would be involved the lesbian wanker'},,,2 (positive/supportive),admin,,False,,4513,,Validated,2023-09-26 08:34:04.389994,{'text_length': 49}
13,"i know it happens a lot but i’m seeing people pin bad things on the lgbt+ community more and more these days. it’s like every time we as a community start to become more accepted, people start to trash it even more. especially with the pedophilia bullshit! i’m sick of it","{'text': 'i know it happens a lot but i’m seeing people pin bad things on the lgbt+ community more and more these days. it’s like every time we as a community start to become more accepted, people start to trash it even more. especially with the pedophilia bullshit! i’m sick of it'}",,,2 (positive/supportive),admin,,False,,4514,,Validated,2023-09-26 08:34:04.390067,{'text_length': 271}
