id,Text,Label_Id,Label,Label_Rev
1,"if you need to soothe a flustered Caucasian this holiday season, put on some Trans Siberian Orchestra. we love that shit.",3,Neutral,2
2,"Afaik I’m not intersex and I don’t know enough about anything to make statements, but I do know that on the other hand people are also starting to call intersex their characters that were previously called c*ntboys and d*ckgirls and that’s also something that really burns me!",3,Neutral,2
3,"Queer &amp; trans kids, I know it's not this easy, but if you are able, try &amp; get the fuck out of those states. If you can't, please stay safe.",2,Positive,1
4,"I got called 'gay' (as if it's an insult to be homosexual), for expressing my feminist views and desire for equality in gender.. Fuck you",2,Positive,1
5,Valid to unfollow me at any time but if you do so immediately after I talk about being intersex implying that the reason is somehow related to those posts you are going to go on my “stupid bitch” list! Sorry that’s just how it is!,2,Positive,1
6,I ship [queer ship] how can I be homophobic?! f*ggot!,3,Neutral,2
7,"""Pearl, you're the bisexual's dream date."" Yes, yes, you are. #RuPaulsDragRace #confessions  ",2,Positive,1
8,Fuck this Transsexual WiFi. It's pain in the ass since typhoon Gener hits Philippines. I wish I could lose shit during multiple orgasms. Lol,3,Neutral,2
9,Definitions of Labiacon: 1)The greatest bacon ever. 2)The lesbian comic-con. 3)The gayest super-villain.,3,Neutral,2
10,Which of the #Wentworth girls would be the Grace Kelly of the “lezzo Monte Carlo”? #WentworthPrison,3,Neutral,2
11,His punk ass could never scare me im from poverty dummy u mad cause u bisexual,4,Negative,3
12,Oh fuck I love being lesbian. Girls are so hot. #lesbiansquad,2,Positive,1
13,Had an amazing time this evening on the #deadgoodshow on  speaking to  about Growing up #Intersex ,2,Positive,1
14,"for the love of fucking christ please stop fucking writing non-human shape-shifting characters as ""trans"" it fucking reads as fetish-y every single time and is really fucking squicky in regards to intersex conditions like HOLY FUCK STOP

unpop op but like u r g h",3,Neutral,2
15,i have a v good character concept for a dnd character which is like.. big useless bisexual halfling enchantment wizard lady,3,Neutral,2
16,It doesn't matter if your house suddenly published 10 bks with all POC &amp; LGBTQ cast if they're all stereotypes. That's not diversity,3,Neutral,2
17,"Look, I get that rainbow flag capitalism sucks but you can still take care of a family of 4-6 on a single income in the US. And while you have to give things up, those things are fake and ghey and you secretly hate them anyway",3,Neutral,2
18,I need a lesbian to take me under her wing and make me one too because boys in shit,2,Positive,1
19,hey uh fuck cis people that act like trans people dont exist and fuck cis people that think they're inherently better than trans people. bottom line fuck transphobes,2,Positive,1
20,"I don't. like. rly remember what I said to Kenny but it was like hey this is dumb it's been a really, really shitty past year to be LGBT in Australia what with the plebiscite and all but the whole G★L thing made me think maybe someone like me could have smth like that someday so",3,Neutral,2
21,Just overheard a woman refer to her two kids as “gaylords” and I can’t stop cackling,3,Neutral,2
22,"""Avery is a lesbian Keebler Elf"" ~My Male Birther",3,Neutral,2
23,alc// we are drink dronk TRULY and gay at this gay club and there are so nice neons and im having so much fun,2,Positive,1
24,i am livid and i am tired and i wish i had the kind of voice that could ring loud and clear into the ears of those who are hurting but i feel so small. i feel so unhelpful. i literally just wanna scoop up all the queer kids who hear this shit and and hold them and protect them.,2,Positive,1
25,"9 pm thought : Tired of trying to explain that trans people, intersex people non-binary people are real and struggle enough in life (to live literally) without your biggot hate. So much hate I can't take it today.",2,Positive,1
26,#pathpopgen  mitotic gene conversion (LOH) and two-speed genome drive the evolution of asexual tree-infecting Phytophthora,3,Neutral,2
27,Happy birthday  ur a queer,2,Positive,1
28,queer culture is not knowing how to fuckin drive,2,Positive,1
29,"""Bisexual people are just greedy."" This phone-in on sexuality is bloody glorious.",3,Neutral,2
30,asexual satsuki hc? about fuckign time,3,Neutral,2
31,"And ""true trans"". That's just not a thing. If you think you're trans, you're trans. Binary, non-binary, genderfluid, it is all good.",2,Positive,1
32,"yall always act like if ur bisexual u have to like girls just as much as guys but thats literally one of the stupidest and ugliest things ive heard, like yall never heard of preferences before??",2,Positive,1
33,"friendly reminder that all dogs are gay.

thank you for coming to my ted talk.",3,Neutral,2
34,Guys are so dumb I wish I were a lesbian.,3,Neutral,2
35,"Nigerian babes are going a wire about sex tingy,GOD pls inter vain abeg.",3,Neutral,2
36,""":    lol my bad Bernie"" lmao it's okay :smiling face with smiling eyes: go watch some shemale porn lmao jk:face with tears of joy::face with tears of joy::face with tears of joy:",4,Negative,3
37,"Some lesbians can pull off both the ""butch"" and ""girly"" look. I can't pull either off. I'm just. The ugly lesbian :face with tears of joy::person tipping hand:",3,Neutral,2
