,text,inputs,prediction,prediction_agent,annotation,annotation_agent,vectors,multi_label,explanation,id,metadata,status,event_timestamp,metrics
0,On an LGBT bar crawl and im drunk already! Uh oh!,{'text': 'On an LGBT bar crawl and im drunk already! Uh oh!'},,,3 (neutral),admin,,False,,3751,,Validated,2023-05-01 17:44:24.648279,{'text_length': 49}
1,i am a proud non binary asexual there i said it,{'text': 'i am a proud non binary asexual there i said it'},,,2 (positive),admin,,False,,3752,,Validated,2023-05-01 17:44:24.648447,{'text_length': 47}
2,"I can't believe,, so many people in the clique are lgbt+ (including me) and Tyler and Josh still love us a lot?? #cliqueisextra","{'text': ""I can't believe,, so many people in the clique are lgbt+ (including me) and Tyler and Josh still love us a lot?? #cliqueisextra""}",,,3 (neutral),admin,,False,,3753,,Validated,2023-05-01 17:44:24.648561,{'text_length': 127}
3,i'm queer and sad ***NOT CLICKBAIT!!!!!***,"{'text': ""i'm queer and sad ***NOT CLICKBAIT!!!!!***""}",,,3 (neutral),admin,,False,,3754,,Validated,2023-05-01 17:44:24.648735,{'text_length': 42}
4,IM GAY FOR SLIME,{'text': 'IM GAY FOR SLIME'},,,3 (neutral),admin,,False,,3755,,Validated,2023-05-01 17:44:24.648884,{'text_length': 16}
5,"""you support gay rights so you must be gay""

i also support animal rights and do i look like a fucking alpaca to you?","{'text': '""you support gay rights so you must be gay""\n\ni also support animal rights and do i look like a fucking alpaca to you?'}",,,2 (positive),admin,,False,,3756,,Validated,2023-05-01 17:44:24.649064,{'text_length': 117}
6,"All these girls are wearing shirts that say ""no one knows I'm a lesbian""  umm yes I do","{'text': 'All these girls are wearing shirts that say ""no one knows I\'m a lesbian""  umm yes I do'}",,,3 (neutral),admin,,False,,3757,,Validated,2023-05-01 17:44:24.649192,{'text_length': 86}
7,"im literally fucking screaming this kid said ""im like trans but with race. im a red head but im chinese now."" I H A T E THIS CLASS","{'text': 'im literally fucking screaming this kid said ""im like trans but with race. im a red head but im chinese now."" I H A T E THIS CLASS'}",,,3 (neutral),admin,,False,,3758,,Validated,2023-05-01 17:44:24.651298,{'text_length': 130}
8,honestly i automatically dont like u if u dont support the LGBT community lmao,{'text': 'honestly i automatically dont like u if u dont support the LGBT community lmao'},,,2 (positive),admin,,False,,3759,,Validated,2023-05-01 17:44:24.651654,{'text_length': 78}
9,"I support gay, black, brown, bi, lesbian, non-binary, trans, fluid, female people. I support every single person who needs supporting.","{'text': 'I support gay, black, brown, bi, lesbian, non-binary, trans, fluid, female people. I support every single person who needs supporting.'}",,,1 (extremely positive),admin,,False,,3760,,Validated,2023-05-01 17:44:24.651745,{'text_length': 134}
10,offically asexual till i meet a Jim Halpert of my own,{'text': 'offically asexual till i meet a Jim Halpert of my own'},,,3 (neutral),admin,,False,,3761,,Validated,2023-05-01 17:44:24.651840,{'text_length': 53}
